id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
371104191ffa5c2404d64cc0af34ffadbdc898e3,Unsupervised one-to-many image translation,Samuel Lavoie-Marchildon; Sébastien Lachapelle; Mikolaj Binkowski; Aaron C. Courville; Yoshua Bengio; R. Devon Hjelm,,2018,3,0,0,,https://www.semanticscholar.org/paper/371104191ffa5c2404d64cc0af34ffadbdc898e3
37afcfee9e9a59a2e14753f43283860d956d2d20,Iteratively unveiling new regions of interest in Deep Learning models,Florian Bordes; T. Berthier; L. Jorio; P. Vincent; Yoshua Bengio,,2018,8,10,0,,https://www.semanticscholar.org/paper/37afcfee9e9a59a2e14753f43283860d956d2d20
37b0077905846345ac73c8f939cada5858af1205,Learning to rank for censored survival data,M. Luck; Tristan Sylvain; Joseph Paul Cohen; H. Cardinal; Andrea Lodi; Yoshua Bengio,arXiv.org,2018,6,20,0,,https://www.semanticscholar.org/paper/37b0077905846345ac73c8f939cada5858af1205
3ecb44ddd1c02551257d802d8bbd94eb0fcac38f,Convergence Properties of Deep Neural Networks on Separable Data,Rémi Tachet des Combes; M. Pezeshki; S. Shabanian; Aaron C. Courville; Yoshua Bengio,,2018,1,33,0,,https://www.semanticscholar.org/paper/3ecb44ddd1c02551257d802d8bbd94eb0fcac38f
3f13a5148f7caa51ea946193d261d4f8ed32d81a,Machine Learning for Combinatorial Optimization: a Methodological Tour d'Horizon,Yoshua Bengio; Andrea Lodi; Antoine Prouvost,European Journal of Operational Research,2018,1928,75,79,10.1016/j.ejor.2020.07.063,https://www.semanticscholar.org/paper/3f13a5148f7caa51ea946193d261d4f8ed32d81a
427bb02b094954b87a316bc4520ea09943b68538,Extending the Framework of Equilibrium Propagation to General Dynamics,B. Scellier; Anirudh Goyal; Jonathan Binas; Thomas Mesnard; Yoshua Bengio,International Conference on Learning Representations,2018,15,0,0,,https://www.semanticscholar.org/paper/427bb02b094954b87a316bc4520ea09943b68538
45fdc73a239e9c6ea65e98c96f6a2d6dc35d6f72,Quaternion Convolutional Neural Networks for End-to-End Automatic Speech Recognition,Titouan Parcollet; Y. Zhang; Mohamed Morchid; Chiheb Trabelsi; Georges Linarès; R. Mori; Yoshua Bengio,Interspeech,2018,117,38,14,10.21437/Interspeech.2018-1898,https://www.semanticscholar.org/paper/45fdc73a239e9c6ea65e98c96f6a2d6dc35d6f72
461afff92a4b51c6b64a05dde407270029fd19ec,Predicting Tactical Solutions to Operational Planning Problems under Imperfect Information,Eric Larsen; Sébastien Lachapelle; Yoshua Bengio; E. Frejinger; Simon Lacoste-Julien; Andrea Lodi,INFORMS journal on computing,2018,53,49,3,10.1287/ijoc.2021.1091,https://www.semanticscholar.org/paper/461afff92a4b51c6b64a05dde407270029fd19ec
4a684d8ff381be9334195e850d09b2a027447230,Dendritic cortical microcircuits approximate the backpropagation algorithm,J. Sacramento; R. P. Costa; Yoshua Bengio; W. Senn,Neural Information Processing Systems,2018,388,61,26,,https://www.semanticscholar.org/paper/4a684d8ff381be9334195e850d09b2a027447230
4bd5880fdca804f12e7f9c1dd9c30c237800c564,Learning of Sophisticated Curriculums by viewing them as Graphs over Tasks,Lucas Willems; Yoshua Bengio,,2018,0,0,0,,https://www.semanticscholar.org/paper/4bd5880fdca804f12e7f9c1dd9c30c237800c564
551f71c7213cd6797e9ec222f5e8db237c7d27fe,BigBrain: 1D convolutional neural networks for automated sementation of cortical layers,K. Wagstyl; C. Lepage; K. Zilles; S. Bludau; G. Cucurul; Alan C. Evans; P. Fletcher; Adriana Romero; Joseph Paul Cohen; S. Larocque; T. Funck; K. Amunts; Yoshua Bengio,,2018,0,0,0,,https://www.semanticscholar.org/paper/551f71c7213cd6797e9ec222f5e8db237c7d27fe
56e5f19fd9c5970b66758b4bfddb641298f37d26,Reinforced Imitation Learning from Observations,Konrad Zolna; Negar Rostamzadeh; Yoshua Bengio; Sungjin Ahn; Pedro H. O. Pinheiro,,2018,3,0,0,,https://www.semanticscholar.org/paper/56e5f19fd9c5970b66758b4bfddb641298f37d26
5ad6970ff332a20e45a7e71ec1dd85c44292cf5f,Learning Hierarchical Structures On-The-Fly with a Recurrent-Recursive Model for Sequences,Athul Paul Jacob; Zhouhan Lin; Alessandro Sordoni; Yoshua Bengio,Rep4NLP@ACL,2018,13,22,1,10.18653/v1/W18-3020,https://www.semanticscholar.org/paper/5ad6970ff332a20e45a7e71ec1dd85c44292cf5f
5c55162deeea9870f765e0a9cd3e8387b05a0ea2,Disentangling the independently controllable factors of variation by interacting with the world,Valentin Thomas; Emmanuel Bengio; W. Fedus; Jules Pondard; Philippe Beaudoin; H. Larochelle; Joelle Pineau; Doina Precup; Yoshua Bengio,arXiv.org,2018,70,22,0,,https://www.semanticscholar.org/paper/5c55162deeea9870f765e0a9cd3e8387b05a0ea2
5f9e2f6d4a844189b2e34da8fd0ba282f3f36c6f,On the Relation Between the Sharpest Directions of DNN Loss and the SGD Step Length,Stanislaw Jastrzebski; Zachary Kenton; Nicolas Ballas; Asja Fischer; Yoshua Bengio; A. Storkey,International Conference on Learning Representations,2018,152,33,23,,https://www.semanticscholar.org/paper/5f9e2f6d4a844189b2e34da8fd0ba282f3f36c6f
604b4fe04deadb44a6688a354386555b15707bf1,Learning powerful policies and better dynamics models by encouraging consistency,Shagun Sodhani; Anirudh Goyal; T. Deleu; Yoshua Bengio; Jian Tang,,2018,0,0,0,,https://www.semanticscholar.org/paper/604b4fe04deadb44a6688a354386555b15707bf1
61d7ca903206136209943fe351752dc61389ea11,Manifold Mixup: Learning Better Representations by Interpolating Hidden States,Vikas Verma; Alex Lamb; Christopher Beckham; Amir Najafi; Aaron C. Courville; Ioannis Mitliagkas; Yoshua Bengio,,2018,39,28,3,,https://www.semanticscholar.org/paper/61d7ca903206136209943fe351752dc61389ea11
62ec0f020ed13c08b6596cde0acbd6580bd18f1b,How can deep learning advance computational modeling of sensory information processing?,J. Thompson; Yoshua Bengio; E. Formisano; M. Schönwiesner,arXiv.org,2018,16,39,1,,https://www.semanticscholar.org/paper/62ec0f020ed13c08b6596cde0acbd6580bd18f1b
63f79cc7423d3032f2be2a380f2f47e429948902,A Dataset of Topic-Oriented Human-to-Chatbot Dialogues,V. Logacheva; M. Burtsev; Valentin Malykh; V. Poluliakh; Alexander I. Rudnicky; Iulian Serban; Ryan Lowe; Shrimai Prabhumoye; A. Black; Yoshua Bengio,,2018,7,3,2,,https://www.semanticscholar.org/paper/63f79cc7423d3032f2be2a380f2f47e429948902
69df37a4d67a5e3d1c36a7c1f9ae5ef5bd7efe39,The Bottleneck Simulator: A Model-based Deep Reinforcement Learning Approach,Iulian Serban; Chinnadhurai Sankar; Michael Pieper; Joelle Pineau; Yoshua Bengio,Journal of Artificial Intelligence Research,2018,30,118,1,10.1613/jair.1.12463,https://www.semanticscholar.org/paper/69df37a4d67a5e3d1c36a7c1f9ae5ef5bd7efe39
6b73775f40467aed52784ff355b9bb7168e9078c,Mutual Information Neural Estimation,Mohamed Ishmael Belghazi; A. Baratin; S. Rajeswar; Sherjil Ozair; Yoshua Bengio; R. Devon Hjelm; Aaron C. Courville,International Conference on Machine Learning,2018,1739,61,272,,https://www.semanticscholar.org/paper/6b73775f40467aed52784ff355b9bb7168e9078c
6cd5da2c989a7beb12e424345a5f8a49316e9a76,EnGAN: Latent Space MCMC and Maximum Entropy Generators for Energy-based Models,Rithesh Kumar; Anirudh Goyal; Aaron C. Courville; Yoshua Bengio,,2018,1,0,0,,https://www.semanticscholar.org/paper/6cd5da2c989a7beb12e424345a5f8a49316e9a76
6f965b0f446b8b3ceabad2de46aedbaaeb2a1692,Image-to-image translation for cross-domain disentanglement,Abel Gonzalez-Garcia; Joost van de Weijer; Yoshua Bengio,Neural Information Processing Systems,2018,264,54,13,,https://www.semanticscholar.org/paper/6f965b0f446b8b3ceabad2de46aedbaaeb2a1692
71178576121f5ffbbc0516ea6921cd05f730d47f,Dynamic Frame Skipping for Fast Speech Recognition in Recurrent Neural Network Based Acoustic Models,Inchul Song; Junyoung Chung; Taesup Kim; Yoshua Bengio,"IEEE International Conference on Acoustics, Speech, and Signal Processing",2018,12,20,1,10.1109/ICASSP.2018.8462615,https://www.semanticscholar.org/paper/71178576121f5ffbbc0516ea6921cd05f730d47f
715a73290f260cf2196307e59fe0b6776841f170,On the Spectral Bias of Neural Networks,Nasim Rahaman; A. Baratin; Devansh Arpit; Felix Dräxler; Min Lin; F. Hamprecht; Yoshua Bengio; Aaron C. Courville,International Conference on Machine Learning,2018,2666,52,93,,https://www.semanticscholar.org/paper/715a73290f260cf2196307e59fe0b6776841f170
75dafecd481f134d4f8b9afb4923b35184d3c971,MetaGAN: An Adversarial Approach to Few-Shot Learning,Ruixiang Zhang; Tong Che; Zoubin Ghahramani; Yoshua Bengio; Yangqiu Song,Neural Information Processing Systems,2018,457,23,23,,https://www.semanticscholar.org/paper/75dafecd481f134d4f8b9afb4923b35184d3c971
75f3e365dc34b16ed235bcb8f1de0361ae7dd0c3,The First Conversational Intelligence Challenge,M. Burtsev; V. Logacheva; Valentin Malykh; Iulian Serban; Ryan Lowe; Shrimai Prabhumoye; A. Black; Alexander I. Rudnicky; Yoshua Bengio,,2018,15,14,1,10.1007/978-3-319-94042-7_2,https://www.semanticscholar.org/paper/75f3e365dc34b16ed235bcb8f1de0361ae7dd0c3
76a2bdf024f0e06d5de81810198886de09fd70d5,Information Fusion in Deep Convolutional Neural Networks for Biomedical Image Segmentation 1,Mohammad Havaei; N. Guizard; Nicolas Chapados; Yoshua Bengio,Signal Processing and Machine Learning for Biomedical Big Data,2018,0,2,0,10.1201/9781351061223-15,https://www.semanticscholar.org/paper/76a2bdf024f0e06d5de81810198886de09fd70d5
78ac8ee86f7e69b91450bffe2bc651a53276b058,A Walk with SGD,Chen Xing; Devansh Arpit; Christos Tsirigotis; Yoshua Bengio,arXiv.org,2018,149,52,10,,https://www.semanticscholar.org/paper/78ac8ee86f7e69b91450bffe2bc651a53276b058
80379210f59298fb65f1c49014338143b04d735f,Learning Anonymized Representations with Adversarial Neural Networks,Clément Feutry; P. Piantanida; Yoshua Bengio; P. Duhamel,arXiv.org,2018,61,27,4,,https://www.semanticscholar.org/paper/80379210f59298fb65f1c49014338143b04d735f
80642bb7fda993e6d6c391048c5e239960190821,»Deep Learning ist keine Religion«,Andreas Sudmann; Yoshua Bengio,Machine-mediated learning,2018,0,0,0,10.14361/9783839435304-017,https://www.semanticscholar.org/paper/80642bb7fda993e6d6c391048c5e239960190821
